event_id,event_type,event_time,ingest_time,advertiser_id,campaign_id,placement,device,geo,media_cost,currency,viewability
evt_cf60e106,impression,2026-06-04 10:29:15+05:30,2026-06-04T17:49:27Z,adv_1186,cmp_1186_2,interstitial,tablet,,0.0183,USD,0.71
evt_d060e299,click,2026-06-04 20:49:42+05:30,2026-06-04T17:34:47Z,adv_1109,cmp_1109_2,native_feed,tablet,unknown,0.8613,USD,0.51
evt_d95424d1,impression,2026-06-04 22:58:28+05:30,2026-06-04T23:08:36Z,adv_1144,cmp_1144_3,preroll,tablet,CA,0.0025,USD,0.61
evt_d854233e,impression,2026-06-04 12:21:45+05:30,2026-06-04T22:12:33Z,adv_1130,cmp_1130_1,banner_300x250,desktop,,0.0167,USD,0.63
evt_d75421ab,impression,2026-06-04 19:13:05+05:30,2026-06-04T08:08:40Z,adv_1137,cmp_1137_2,interstitial,mobile,GB,0.0125,USD,0.90
evt_d6542018,impression,2026-06-04 13:47:14+05:30,2026-06-04T16:06:39Z,adv_1186,cmp_1186_1,banner_300x250,ctv,GB,0.0088,USD,0.58
evt_dd542b1d,click,2026-06-04 06:58:17+05:30,2026-06-04T03:41:44Z,adv_1151,cmp_1151_1,preroll,tablet,GB,0.8171,USD,0.49
evt_dc54298a,impression,2026-06-04 07:43:17+05:30,2026-06-04T10:31:45Z,adv_1172,cmp_1172_2,banner_300x250,tablet,GB,0.0076,USD,0.80
evt_db5427f7,impression,2026-06-04 23:56:03+05:30,2026-06-04T18:15:39Z,adv_1130,cmp_1130_3,banner_300x250,ctv,unknown,0.0033,USD,0.70
evt_da542664,impression,2026-06-04 12:10:25+05:30,2026-06-04T13:24:29Z,adv_1137,cmp_1137_2,native_feed,desktop,AU,0.0028,USD,0.78
evt_d1541839,impression,2026-06-04 11:38:50+05:30,2026-06-04T20:23:19Z,adv_1123,cmp_1123_1,interstitial,desktop,CA,-0.0060,USD,0.74
evt_d05416a6,impression,2026-06-04 10:43:48+05:30,2026-06-05T23:59:17Z,adv_1109,cmp_1109_2,native_feed,tablet,CA,0.0198,USD,0.95
evt_d351dcc8,impression,2026-06-04 14:40:09+05:30,2026-06-04T05:37:29Z,adv_1158,cmp_1158_1,interstitial,mobile,DE,0.0027,USD,0.97
evt_d451de5b,click,2026-06-04 11:19:47+05:30,2026-06-04T04:20:41Z,adv_1179,cmp_1179_1,native_feed,tablet,unknown,0.1084,INR,0.51
evt_d551dfee,conversion,2026-06-04 16:20:39+05:30,2026-06-04T23:13:25Z,adv_1179,cmp_1179_2,banner_728x90,desktop,CA,0.0000,USD,0.94
evt_d651e181,impression,2026-06-04 05:23:41+05:30,2026-06-04T22:06:23Z,adv_1123,cmp_1123_2,interstitial,ctv,IN,0.0127,USD,0.45
evt_d751e314,click,2026-06-04 01:08:29+05:30,2026-06-04T04:44:09Z,adv_1151,cmp_1151_1,banner_728x90,tablet,DE,0.1349,USD,0.89
evt_d851e4a7,impression,2026-06-04 10:11:39+05:30,2026-06-04T11:09:34Z,adv_1165,cmp_1165_3,banner_728x90,desktop,US,0.0166,USD,1.00
evt_d951e63a,impression,2026-06-04 12:29:33+05:30,2026-06-04T09:13:36Z,adv_1130,cmp_1130_2,banner_300x250,ctv,US,0.0061,USD,0.44
evt_da51e7cd,impression,2026-06-04 22:47:19+05:30,2026-06-04T19:22:15Z,adv_957,cmp_957_x,native_feed,ctv,unknown,0.0126,USD,0.88
evt_cb51d030,impression,2026-06-04 22:08:43+05:30,2026-06-04T22:13:39Z,adv_1109,cmp_1109_2,native_feed,desktop,SG,0.0089,USD,0.84
evt_cc51d1c3,impression,2026-06-04 22:39:37+05:30,2026-06-04T23:15:47Z,adv_981,cmp_981_x,native_feed,desktop,CA,0.0195,USD,0.47
evt_45594c03,click,2026-06-04 11:33:00+05:30,2026-06-04T04:33:07Z,adv_1144,cmp_1144_1,banner_300x250,mobile,DE,0.0307,USD,0.91
evt_44594a70,impression,2026-06-04 08:07:03+05:30,2026-06-04T08:38:01Z,adv_1158,cmp_1158_3,banner_300x250,ctv,unknown,0.0016,USD,0.67
evt_44594a70,impression,2026-06-04 08:07:03+05:30,2026-06-04T08:38:01Z,adv_1158,cmp_1158_3,banner_300x250,ctv,unknown,0.0016,USD,0.67
evt_47594f29,conversion,2026-06-04 10:15:04+05:30,2026-06-05T08:51:15Z,adv_1123,cmp_1123_1,preroll,ctv,,0.0000,USD,0.98
evt_46594d96,impression,2026-06-04 21:57:35+05:30,2026-06-04T15:11:18Z,adv_1130,cmp_1130_1,banner_728x90,desktop,US,0.0099,USD,0.88
evt_4959524f,impression,2026-06-04 18:44:31+05:30,2026-06-04T13:23:08Z,adv_1158,cmp_1158_1,native_feed,desktop,CA,0.0124,INR,0.71
evt_485950bc,click,2026-06-04 19:21:37+05:30,2026-06-04T18:24:02Z,adv_1144,cmp_1144_2,interstitial,mobile,DE,0.4336,USD,0.71
evt_4b595575,impression,2026-06-04 16:35:05+05:30,2026-06-04T04:53:36Z,adv_1179,cmp_1179_1,native_feed,ctv,GB,0.0097,USD,0.94
evt_4a5953e2,impression,2026-06-04 16:04:04+05:30,2026-06-04T15:18:39Z,adv_1116,cmp_1116_1,preroll,ctv,AU,0.0151,USD,0.99
evt_4d59589b,impression,2026-06-04 00:06:38+05:30,2026-06-04T22:11:25Z,adv_1116,cmp_1116_1,banner_728x90,ctv,AU,0.0154,USD,0.53
evt_4c595708,impression,2026-06-04 14:23:32+05:30,2026-06-04T08:39:00Z,adv_1109,cmp_1109_3,banner_300x250,mobile,GB,0.0034,USD,0.85
evt_5f57365a,impression,2026-06-04 16:40:48+05:30,2026-06-04T02:19:55Z,adv_1165,cmp_1165_2,interstitial,ctv,AU,0.0157,USD,0.97
evt_605737ed,impression,2026-06-04 22:26:02+05:30,2026-06-04T01:27:37Z,adv_1130,cmp_1130_1,banner_728x90,mobile,IN,0.0058,USD,0.60
evt_5d573334,impression,2026-06-04 10:07:10+05:30,2026-06-04T21:31:12Z,adv_1109,cmp_1109_3,interstitial,mobile,AU,0.0184,USD,0.66
evt_5e5734c7,impression,2026-06-04 01:59:11+05:30,2026-06-04T14:26:07Z,adv_1144,cmp_1144_1,preroll,mobile,,0.0143,USD,0.64
evt_5b57300e,click,2026-06-04 05:01:02+05:30,2026-06-04T21:34:55Z,adv_1179,cmp_1179_3,banner_300x250,desktop,GB,0.7847,USD,0.46
evt_5c5731a1,impression,2026-06-04 04:17:54+05:30,2026-06-04T17:00:39Z,adv_1116,cmp_1116_1,banner_300x250,mobile,IN,0.0056,USD,0.75
evt_59572ce8,impression,2026-06-04 12:49:17+05:30,2026-06-06T23:35:03Z,adv_1151,cmp_1151_1,native_feed,ctv,GB,0.0034,USD,0.61
evt_5a572e7b,click,2026-06-04 03:40:50+05:30,2026-06-04T05:30:29Z,adv_1165,cmp_1165_1,native_feed,desktop,IN,0.5493,USD,0.56
evt_575729c2,impression,2026-06-04 00:38:13+05:30,2026-06-04T03:06:19Z,adv_1123,cmp_1123_1,interstitial,mobile,CA,0.0173,USD,0.97
evt_58572b55,impression,2026-06-04 00:37:36+05:30,2026-06-04T21:06:51Z,adv_1137,cmp_1137_1,native_feed,tablet,unknown,0.0120,USD,0.69
evt_614a6d8d,impression,2026-06-04 21:05:48+05:30,2026-06-04T23:09:14Z,adv_1172,cmp_1172_1,banner_300x250,desktop,,0.0156,INR,0.92
evt_604a6bfa,click,2026-06-04 07:15:56+05:30,2026-06-04T14:51:35Z,adv_1179,cmp_1179_3,banner_728x90,mobile,SG,0.4303,USD,0.57
evt_5f4a6a67,impression,2026-06-04 17:09:25+05:30,2026-06-04T09:42:15Z,adv_1144,cmp_1144_1,banner_300x250,ctv,CA,0.0029,USD,0.70
evt_5e4a68d4,impression,2026-06-04 08:50:04+05:30,2026-06-04T04:50:54Z,adv_1151,cmp_1151_1,banner_300x250,mobile,US,0.0161,USD,0.58
evt_5d4a6741,impression,2026-06-04 11:52:44+05:30,2026-06-04T05:58:49Z,adv_1123,cmp_1123_1,banner_728x90,mobile,,0.0061,INR,0.81
evt_5c4a65ae,click,2026-06-04 06:18:30+05:30,2026-06-04T09:48:34Z,adv_1165,cmp_1165_3,preroll,desktop,unknown,0.6906,USD,0.58
evt_5b4a641b,impression,2026-06-04 23:36:21+05:30,2026-06-04T12:00:47Z,adv_1151,cmp_1151_2,native_feed,ctv,CA,0.0182,USD,0.72
evt_5a4a6288,impression,2026-06-04 06:43:51+05:30,2026-06-04T01:38:17Z,adv_1186,cmp_1186_1,banner_300x250,desktop,SG,0.0177,USD,0.76
evt_594a60f5,impression,2026-06-04 17:20:06+05:30,2026-06-04T07:31:01Z,adv_1165,cmp_1165_2,interstitial,tablet,,0.0130,USD,0.71
evt_584a5f62,impression,2026-06-04 00:40:19+05:30,2026-06-04T13:31:43Z,adv_1116,cmp_1116_1,banner_728x90,mobile,unknown,0.0017,USD,0.58
evt_5b482584,impression,2026-06-04 04:35:20+05:30,2026-06-04T12:23:54Z,adv_1186,cmp_1186_2,interstitial,tablet,US,0.0096,USD,0.81
evt_5c482717,impression,2026-06-04 15:12:05+05:30,2026-06-04T21:42:31Z,adv_1179,cmp_1179_3,banner_728x90,ctv,DE,0.0075,USD,0.82
evt_5d4828aa,impression,2026-06-04 16:54:10+05:30,2026-06-04T11:23:04Z,adv_1172,cmp_1172_1,interstitial,tablet,CA,0.0005,USD,0.61
evt_5e482a3d,impression,2026-06-04 01:28:45+05:30,2026-06-04T03:24:42Z,adv_1172,cmp_1172_3,preroll,mobile,CA,0.0057,USD,0.57
evt_57481f38,impression,2026-06-04 14:40:12+05:30,2026-06-04T23:04:32Z,adv_1165,cmp_1165_3,banner_300x250,desktop,,0.0021,USD,0.57
evt_584820cb,click,2026-06-04 03:59:58+05:30,2026-06-04T07:30:05Z,adv_1137,cmp_1137_2,banner_300x250,tablet,US,0.0256,USD,0.78
evt_5948225e,impression,2026-06-04 17:47:40+05:30,2026-06-04T22:14:53Z,adv_1151,cmp_1151_3,preroll,ctv,unknown,0.0136,USD,0.88
evt_5a4823f1,click,2026-06-04 20:01:31+05:30,2026-06-06T09:07:49Z,adv_1186,cmp_1186_3,banner_728x90,mobile,AU,0.0920,USD,0.83
evt_534818ec,impression,2026-06-04 06:28:39+05:30,2026-06-04T18:42:30Z,adv_1186,cmp_1186_1,preroll,tablet,GB,0.0130,USD,0.69
evt_54481a7f,impression,2026-06-04 03:15:03+05:30,2026-06-04T22:52:48Z,adv_1123,cmp_1123_3,banner_728x90,ctv,IN,0.0191,USD,0.43
evt_dd2a5a74,click,2026-06-04 07:49:15+05:30,2026-06-04T01:51:53Z,adv_1109,cmp_1109_2,native_feed,ctv,GB,-0.2058,USD,0.73
evt_de2a5c07,impression,2026-06-04 12:26:50+05:30,2026-06-04T08:22:57Z,adv_1158,cmp_1158_1,native_feed,desktop,DE,0.0174,USD,0.59
evt_df2a5d9a,impression,2026-06-04 14:04:11+05:30,2026-06-04T11:22:45Z,adv_1179,cmp_1179_1,preroll,desktop,AU,0.0061,USD,0.91
evt_e02a5f2d,impression,2026-06-04 13:06:37+05:30,2026-06-04T07:22:03Z,adv_1186,cmp_1186_3,preroll,mobile,unknown,0.0008,USD,0.85
evt_d92a5428,impression,2026-06-04 20:34:46+05:30,2026-06-04T10:01:31Z,adv_1109,cmp_1109_1,banner_728x90,ctv,IN,0.0181,USD,0.95
evt_da2a55bb,impression,2026-06-04 00:53:14+05:30,2026-06-04T02:30:15Z,adv_1144,cmp_1144_1,interstitial,tablet,,0.0023,INR,0.81
evt_db2a574e,impression,2026-06-04 18:42:43+05:30,2026-06-04T00:21:23Z,adv_1179,cmp_1179_1,interstitial,mobile,CA,0.0060,INR,0.47
evt_dc2a58e1,impression,2026-06-04 11:45:55+05:30,2026-06-04T02:17:43Z,adv_1151,cmp_1151_2,native_feed,tablet,SG,0.0111,USD,0.58
evt_d52a4ddc,impression,2026-06-04 11:43:55+05:30,2026-06-04T11:25:06Z,adv_1186,cmp_1186_1,interstitial,desktop,,0.0064,USD,0.42
evt_d62a4f6f,impression,2026-06-04 23:19:40+05:30,2026-06-04T06:52:13Z,adv_1151,cmp_1151_2,interstitial,tablet,AU,0.0110,USD,0.97
evt_e32ca27d,impression,2026-06-04 07:14:15+05:30,2026-06-04T05:02:37Z,adv_1130,cmp_1130_1,native_feed,tablet,GB,0.0125,USD,0.82
evt_e22ca0ea,impression,2026-06-04 04:28:35+05:30,2026-06-04T20:46:42Z,adv_1109,cmp_1109_1,banner_300x250,desktop,GB,0.0066,USD,0.81
evt_e12c9f57,impression,2026-06-04 09:24:02+05:30,2026-06-04T16:03:14Z,adv_1116,cmp_1116_1,native_feed,mobile,DE,0.0106,USD,0.87
evt_e02c9dc4,impression,2026-06-04 08:20:04+05:30,2026-06-04T16:12:30Z,adv_1165,cmp_1165_3,interstitial,tablet,GB,0.0033,USD,0.47
evt_df2c9c31,impression,2026-06-04 16:30:49+05:30,2026-06-04T21:53:20Z,adv_1151,cmp_1151_3,interstitial,mobile,US,0.0027,USD,0.42
evt_de2c9a9e,impression,2026-06-04 04:34:07+05:30,2026-06-04T12:14:46Z,adv_1151,cmp_1151_3,banner_728x90,mobile,IN,0.0004,USD,0.87
evt_dd2c990b,impression,2026-06-04 19:21:49+05:30,2026-06-04T13:13:38Z,adv_1165,cmp_1165_3,native_feed,desktop,SG,0.0017,USD,0.86
evt_dc2c9778,impression,2026-06-04 20:23:38+05:30,2026-06-04T02:46:08Z,adv_1179,cmp_1179_3,interstitial,desktop,CA,0.0065,USD,0.72
evt_db2c95e5,impression,2026-06-04 23:39:49+05:30,2026-06-04T16:34:57Z,adv_957,cmp_957_x,interstitial,tablet,unknown,0.0161,USD,0.98
evt_da2c9452,impression,2026-06-04 09:55:14+05:30,2026-06-04T15:35:11Z,adv_1137,cmp_1137_1,native_feed,ctv,unknown,0.0196,INR,0.90
evt_c92eb826,impression,2026-06-04 14:39:57+05:30,2026-06-05T04:01:20Z,adv_1137,cmp_1137_3,interstitial,tablet,unknown,0.0059,USD,0.46
evt_ca2eb9b9,impression,2026-06-04 00:29:27+05:30,2026-06-04T01:13:41Z,adv_1137,cmp_1137_1,native_feed,desktop,IN,0.0024,USD,0.78
evt_c72eb500,impression,2026-06-04 05:55:34+05:30,2026-06-04T05:37:31Z,adv_1165,cmp_1165_3,preroll,ctv,CA,0.0006,INR,0.80
evt_c82eb693,impression,2026-06-04 03:19:40+05:30,2026-06-04T12:22:17Z,adv_1186,cmp_1186_2,banner_728x90,mobile,DE,0.0125,USD,0.55
evt_cd2ebe72,impression,2026-06-04 18:59:35+05:30,2026-06-06T11:39:40Z,adv_1151,cmp_1151_2,native_feed,ctv,IN,0.0141,USD,0.66
evt_ce2ec005,impression,2026-06-04 22:54:15+05:30,2026-06-04T02:26:19Z,adv_1144,cmp_1144_2,banner_300x250,mobile,GB,0.0144,USD,0.81
evt_cb2ebb4c,impression,2026-06-04 14:49:25+05:30,2026-06-04T07:45:30Z,adv_1172,cmp_1172_3,banner_728x90,ctv,SG,0.0018,USD,0.71
evt_cc2ebcdf,impression,2026-06-04 20:51:17+05:30,2026-06-04T10:48:01Z,adv_1172,cmp_1172_3,banner_300x250,ctv,unknown,0.0198,USD,0.42
evt_d12ec4be,impression,2026-06-04 20:49:32+05:30,2026-06-04T17:46:10Z,adv_1109,cmp_1109_1,banner_728x90,mobile,GB,0.0001,INR,0.84
evt_d22ec651,impression,2026-06-04 05:34:42+05:30,2026-06-05T19:49:43Z,adv_1116,cmp_1116_2,banner_728x90,desktop,DE,0.0194,USD,0.61
evt_4f31c9af,impression,2026-06-04 05:21:49+05:30,2026-06-04T19:50:04Z,adv_1165,cmp_1165_2,interstitial,desktop,SG,0.0114,USD,0.68
evt_4e31c81c,impression,N/A,2026-06-04T17:01:23Z,adv_1116,cmp_1116_3,banner_728x90,desktop,SG,0.0140,USD,0.57
evt_5131ccd5,impression,2026-06-04 10:55:58+05:30,2026-06-04T04:54:34Z,adv_1116,cmp_1116_3,native_feed,desktop,,0.0149,USD,0.85
evt_5031cb42,impression,2026-06-04 06:53:46+05:30,2026-06-04T02:23:54Z,adv_1137,cmp_1137_1,native_feed,ctv,DE,0.0089,USD,0.95
evt_4b31c363,impression,2026-06-04 20:00:03+05:30,2026-06-04T21:03:14Z,adv_1172,cmp_1172_1,banner_300x250,ctv,unknown,0.0193,USD,0.88
evt_4a31c1d0,impression,2026-06-04 04:26:59+05:30,2026-06-04T00:21:38Z,adv_1144,cmp_1144_3,banner_300x250,mobile,DE,0.0029,USD,0.56
evt_4d31c689,impression,2026-06-04 15:02:04+05:30,2026-06-04T08:26:29Z,adv_981,cmp_981_x,banner_300x250,desktop,SG,0.0029,USD,0.44
evt_4c31c4f6,impression,2026-06-04 12:37:24+05:30,2026-06-04T21:26:08Z,adv_1137,cmp_1137_1,banner_728x90,desktop,DE,0.0087,USD,0.80
evt_5731d647,click,2026-06-04 19:19:37+05:30,2026-06-04T02:26:02Z,adv_1165,cmp_1165_3,interstitial,tablet,CA,0.3175,USD,0.67
evt_5631d4b4,click,2026-06-04 14:23:15+05:30,2026-06-04T20:47:38Z,adv_1158,cmp_1158_1,banner_728x90,mobile,,0.4423,USD,0.79
evt_452070d0,impression,2026-06-04 03:21:37+05:30,2026-06-04T22:58:25Z,adv_1158,cmp_1158_3,banner_728x90,mobile,US,0.0118,USD,0.61
evt_46207263,impression,2026-06-04 05:15:50+05:30,2026-06-04T00:15:49Z,adv_1130,cmp_1130_1,native_feed,desktop,IN,0.0178,USD,0.49
evt_472073f6,impression,2026-06-04 15:15:34+05:30,2026-06-05T17:37:39Z,adv_1179,cmp_1179_3,interstitial,desktop,CA,0.0149,USD,0.99
evt_48207589,impression,2026-06-04 05:34:13+05:30,2026-06-04T12:31:31Z,adv_1172,cmp_1172_3,native_feed,mobile,CA,0.0122,USD,0.57
evt_4920771c,impression,2026-06-04 09:17:00+05:30,2026-06-04T09:55:45Z,adv_1172,cmp_1172_2,banner_728x90,tablet,SG,0.0138,USD,0.51
evt_4a2078af,impression,2026-06-04 04:27:58+05:30,2026-06-04T14:11:31Z,adv_1151,cmp_1151_1,interstitial,tablet,unknown,0.0098,USD,0.41
evt_4b207a42,impression,2026-06-04 21:48:02+05:30,2026-06-04T21:48:13Z,adv_1179,cmp_1179_1,banner_300x250,mobile,DE,0.0133,USD,0.58
evt_4c207bd5,impression,2026-06-04 07:28:16+05:30,2026-06-04T08:37:25Z,adv_1137,cmp_1137_3,preroll,ctv,,0.0090,USD,0.92
evt_4d207d68,impression,2026-06-04 00:47:50+05:30,2026-06-04T06:48:51Z,adv_1116,cmp_1116_1,interstitial,tablet,IN,0.0094,USD,0.86
evt_4e207efb,impression,2026-06-04 06:51:28+05:30,2026-06-04T15:27:05Z,adv_1130,cmp_1130_3,interstitial,tablet,AU,0.0183,USD,0.44
evt_4b22b8d9,impression,2026-06-04 20:20:42+05:30,2026-06-04T18:06:59Z,adv_1172,cmp_1172_2,banner_300x250,tablet,IN,0.0148,USD,0.52
evt_4a22b746,impression,2026-06-04 02:41:05+05:30,2026-06-04T00:34:19Z,adv_1158,cmp_1158_1,banner_728x90,tablet,AU,0.0079,INR,0.99
evt_4922b5b3,impression,2026-06-04 07:28:45+05:30,2026-06-04T18:39:34Z,adv_1186,cmp_1186_3,banner_728x90,ctv,unknown,0.0056,INR,0.80
evt_4822b420,impression,2026-06-04 21:14:15+05:30,2026-06-04T21:48:27Z,adv_1165,cmp_1165_3,banner_728x90,mobile,GB,0.0135,USD,0.53
evt_4f22bf25,click,2026-06-04 10:31:05+05:30,2026-06-04T00:42:37Z,adv_1179,cmp_1179_2,interstitial,mobile,CA,0.6768,USD,0.87
evt_4e22bd92,impression,2026-06-04 22:21:16+05:30,2026-06-04T19:26:59Z,adv_1172,cmp_1172_3,banner_728x90,desktop,AU,0.0112,USD,0.64
evt_4d22bbff,impression,2026-06-04 21:28:36+05:30,2026-06-04T13:13:20Z,adv_1130,cmp_1130_1,native_feed,mobile,GB,0.0069,USD,0.84
evt_4c22ba6c,impression,2026-06-04 23:36:00+05:30,2026-06-04T16:21:05Z,adv_1144,cmp_1144_2,native_feed,mobile,DE,0.0102,USD,0.49
evt_5322c571,click,2026-06-04 03:16:25+05:30,2026-06-04T16:41:28Z,adv_1186,cmp_1186_2,banner_728x90,desktop,GB,0.4297,USD,0.99
evt_5222c3de,impression,2026-06-04 11:53:14+05:30,2026-06-04T13:18:30Z,adv_1151,cmp_1151_3,native_feed,tablet,,0.0157,USD,0.80
evt_512500e2,impression,2026-06-04 11:20:13+05:30,2026-06-04T21:44:17Z,adv_1109,cmp_1109_3,interstitial,desktop,IN,0.0109,INR,0.63
evt_52250275,impression,2026-06-04 17:24:42+05:30,2026-06-04T10:23:47Z,adv_1165,cmp_1165_1,banner_728x90,mobile,CA,0.0195,USD,0.63
evt_4f24fdbc,impression,2026-06-04 09:17:56+05:30,2026-06-04T12:41:28Z,adv_1172,cmp_1172_1,interstitial,desktop,,0.0135,USD,0.68
evt_5024ff4f,impression,2026-06-04 02:33:46+05:30,2026-06-04T12:18:52Z,adv_1130,cmp_1130_3,native_feed,tablet,US,0.0192,USD,0.53
