event_id,event_type,event_time,ingest_time,advertiser_id,campaign_id,placement,device,geo,spend,currency
evt_6ed7f211,impression,2026-06-01T10:37:39Z,2026-06-01T16:14:19Z,adv_1158,cmp_1158_1,banner_300x250,desktop,AU,0.0162,USD
evt_6dd7f07e,impression,2026-06-01T11:23:08Z,2026-06-01T11:50:18Z,adv_1165,cmp_1165_1,interstitial,desktop,AU,0.0048,USD
evt_68d7e89f,impression,2026-06-01T19:58:35Z,2026-06-01T06:32:18Z,adv_1116,cmp_1116_3,interstitial,tablet,GB,0.0030,USD
evt_67d7e70c,impression,2026-06-01T20:55:45Z,2026-06-01T20:32:49Z,adv_1109,cmp_1109_2,preroll,desktop,DE,0.0185,USD
evt_6ad5ad2e,impression,2026-06-01T15:26:07Z,2026-06-01T15:10:12Z,adv_1151,cmp_1151_3,preroll,ctv,SG,0.0156,USD
evt_6bd5aec1,impression,2026-06-01T00:24:31Z,2026-06-01T00:33:28Z,adv_1179,cmp_1179_2,interstitial,tablet,CA,0.0185,USD
evt_68d5aa08,click,2026-06-01T15:30:08Z,2026-06-01T03:41:04Z,adv_1165,cmp_1165_1,interstitial,desktop,DE,0.4778,USD
evt_69d5ab9b,impression,2026-06-01T22:01:37Z,2026-06-01T21:09:01Z,adv_1165,cmp_1165_3,preroll,tablet,GB,0.0167,USD
evt_6ed5b37a,impression,2026-06-01T13:13:40Z,2026-06-01T15:49:18Z,adv_1172,cmp_1172_1,native_feed,desktop,CA,0.0152,USD
evt_6fd5b50d,impression,2026-06-01T04:57:10Z,2026-06-01T01:12:36Z,adv_1151,cmp_1151_3,banner_728x90,desktop,SG,0.0025,USD
evt_6cd5b054,impression,2026-06-01T04:11:48Z,2026-06-01T17:04:45Z,adv_1109,cmp_1109_1,native_feed,tablet,GB,0.0167,USD
evt_6dd5b1e7,impression,2026-06-01T06:11:21Z,2026-06-01T01:54:47Z,adv_1165,cmp_1165_1,banner_300x250,tablet,CA,0.0089,USD
evt_62d5a096,impression,2026-06-01T13:31:39Z,2026-06-01T21:20:24Z,adv_1186,cmp_1186_3,native_feed,desktop,SG,0.0032,USD
evt_63d5a229,impression,2026-06-01T19:37:47Z,2026-06-01T10:52:58Z,adv_1137,cmp_1137_3,banner_300x250,mobile,SG,0.0032,USD
evt_ecc9ade1,impression,2026-06-01T04:13:46Z,2026-06-01T15:42:25Z,adv_1165,cmp_1165_3,preroll,ctv,unknown,0.0173,USD
evt_ebc9ac4e,impression,2026-06-01T03:32:28Z,2026-06-01T13:06:57Z,adv_1137,cmp_1137_1,banner_728x90,desktop,IN,0.0188,USD
evt_eac9aabb,impression,N/A,2026-06-01T22:01:33Z,adv_1109,cmp_1109_2,banner_728x90,mobile,SG,0.0139,USD
evt_e9c9a928,impression,2026-06-01T18:31:39Z,2026-06-01T01:32:03Z,adv_1158,cmp_1158_3,interstitial,desktop,AU,0.0162,USD
evt_f0c9b42d,impression,2026-06-01T21:53:01Z,2026-06-01T00:37:39Z,adv_1172,cmp_1172_1,interstitial,ctv,GB,0.0020,USD
evt_efc9b29a,impression,N/A,2026-06-01T17:54:54Z,adv_1123,cmp_1123_3,preroll,mobile,SG,0.0190,USD
evt_eec9b107,impression,2026-06-01T03:16:50Z,2026-06-01T13:47:07Z,adv_1172,cmp_1172_1,banner_728x90,tablet,,0.0162,USD
evt_edc9af74,click,2026-06-01T09:18:00Z,2026-06-01T19:41:39Z,adv_1123,cmp_1123_1,preroll,tablet,AU,0.0043,USD
evt_e4c9a149,impression,2026-06-01T04:27:52Z,2026-06-01T06:14:05Z,adv_1186,cmp_1186_3,native_feed,tablet,DE,0.0014,USD
evt_e3c99fb6,impression,2026-06-01T06:35:15Z,2026-06-01T02:46:19Z,adv_1165,cmp_1165_1,banner_300x250,ctv,unknown,0.0082,USD
evt_66c69c58,impression,2026-06-01T22:31:41Z,2026-06-01T10:50:58Z,adv_1116,cmp_1116_3,banner_728x90,tablet,unknown,0.0076,USD
evt_67c69deb,click,2026-06-01T11:58:45Z,2026-06-01T03:49:00Z,adv_1116,cmp_1116_1,banner_300x250,mobile,SG,0.7193,USD
evt_68c69f7e,click,2026-06-01T01:41:19Z,2026-06-01T15:31:19Z,adv_1172,cmp_1172_3,native_feed,mobile,AU,0.3224,USD
evt_68c69f7e,click,2026-06-01T01:41:19Z,2026-06-01T15:31:19Z,adv_1172,cmp_1172_3,native_feed,mobile,AU,0.3224,USD
evt_69c6a111,impression,2026-06-01T18:53:31Z,2026-06-01T08:16:46Z,adv_1109,cmp_1109_1,banner_300x250,mobile,CA,0.0114,USD
evt_6ac6a2a4,impression,2026-06-01T09:40:59Z,2026-06-01T18:06:56Z,adv_1158,cmp_1158_2,native_feed,tablet,US,0.0107,USD
evt_6bc6a437,impression,2026-06-01T03:53:55Z,2026-06-01T00:48:09Z,adv_1130,cmp_1130_1,banner_728x90,desktop,GB,0.0098,USD
evt_6cc6a5ca,click,2026-06-01T12:18:35Z,2026-06-01T07:58:20Z,adv_1179,cmp_1179_1,native_feed,tablet,US,0.5232,USD
evt_6dc6a75d,impression,2026-06-01T23:07:24Z,2026-06-01T08:04:30Z,adv_1137,cmp_1137_3,banner_300x250,tablet,IN,0.0055,USD
evt_5ec68fc0,impression,2026-06-01T23:59:45Z,2026-06-01T13:28:31Z,adv_1165,cmp_1165_2,interstitial,tablet,DE,0.0167,USD
evt_5fc69153,impression,2026-06-01T08:11:49Z,2026-06-01T15:27:26Z,adv_1172,cmp_1172_1,interstitial,ctv,unknown,0.0048,USD
evt_d8ce0b93,click,2026-06-01T21:28:52Z,2026-06-01T17:06:30Z,adv_1116,cmp_1116_3,banner_300x250,desktop,US,0.1985,INR
evt_d7ce0a00,impression,2026-06-01T23:01:21Z,2026-06-02T20:36:38Z,adv_1179,cmp_1179_2,interstitial,tablet,,0.0018,USD
evt_dace0eb9,click,2026-06-01T20:52:24Z,2026-06-01T07:59:59Z,adv_1137,cmp_1137_2,banner_300x250,desktop,CA,0.4082,INR
evt_d9ce0d26,click,2026-06-01T03:23:34Z,2026-06-03T22:15:46Z,adv_1109,cmp_1109_3,banner_300x250,mobile,SG,0.1111,USD
evt_dcce11df,impression,2026-06-01T01:45:15Z,2026-06-01T02:34:33Z,adv_1123,cmp_1123_2,interstitial,mobile,DE,0.0090,USD
evt_dbce104c,impression,2026-06-01T11:02:24Z,2026-06-01T07:33:04Z,adv_1144,cmp_1144_2,native_feed,ctv,SG,0.0189,USD
evt_dece1505,click,2026-06-01T10:12:26Z,2026-06-01T06:55:47Z,adv_1151,cmp_1151_2,preroll,desktop,CA,0.8382,INR
evt_ddce1372,impression,2026-06-01T09:07:16Z,2026-06-01T05:09:17Z,adv_1144,cmp_1144_2,preroll,mobile,AU,0.0139,USD
evt_e0ce182b,conversion,2026-06-01T19:29:41Z,2026-06-01T01:52:50Z,adv_1137,cmp_1137_3,banner_728x90,tablet,GB,0.0000,USD
evt_dfce1698,impression,2026-06-01T15:37:56Z,2026-06-01T00:10:52Z,adv_1158,cmp_1158_3,banner_728x90,mobile,,0.0198,USD
evt_f2cbf5ea,impression,2026-06-01T02:01:34Z,2026-06-03T06:52:46Z,adv_1179,cmp_1179_2,banner_300x250,ctv,IN,0.0165,USD
evt_f3cbf77d,impression,2026-06-01T14:03:22Z,2026-06-01T07:39:22Z,adv_1165,cmp_1165_1,native_feed,tablet,US,0.0144,USD
evt_f0cbf2c4,impression,2026-06-01T20:13:06Z,2026-06-01T07:13:53Z,adv_1186,cmp_1186_1,banner_300x250,ctv,,0.0031,USD
evt_f1cbf457,impression,2026-06-01T09:13:10Z,2026-06-01T10:24:06Z,adv_1109,cmp_1109_1,banner_300x250,desktop,SG,0.0117,INR
evt_eecbef9e,impression,2026-06-01T17:14:39Z,2026-06-01T16:08:14Z,adv_981,cmp_981_x,banner_300x250,ctv,US,0.0148,USD
evt_efcbf131,impression,2026-06-01T23:02:48Z,2026-06-02T10:13:58Z,adv_1123,cmp_1123_1,banner_728x90,ctv,,0.0104,USD
evt_eccbec78,impression,2026-06-01T01:43:17Z,2026-06-01T14:31:51Z,adv_1137,cmp_1137_1,banner_300x250,ctv,unknown,0.0102,USD
evt_edcbee0b,impression,2026-06-01T19:05:45Z,2026-06-01T08:27:32Z,adv_1137,cmp_1137_2,banner_300x250,tablet,IN,0.0034,USD
evt_eacbe952,impression,2026-06-01T08:07:50Z,2026-06-01T08:57:54Z,adv_1123,cmp_1123_3,banner_300x250,mobile,GB,0.0001,USD
evt_ebcbeae5,impression,2026-06-01T11:47:11Z,2026-06-01T22:50:00Z,adv_1130,cmp_1130_2,native_feed,mobile,unknown,0.0146,USD
evt_f4bf2d1d,click,2026-06-01T14:21:10Z,2026-06-01T11:33:49Z,adv_1151,cmp_1151_3,interstitial,mobile,,0.8261,USD
evt_f3bf2b8a,impression,2026-06-01T06:15:57Z,2026-06-01T04:56:30Z,adv_1179,cmp_1179_3,native_feed,ctv,CA,0.0176,USD
evt_f2bf29f7,impression,2026-06-01T00:50:55Z,2026-06-01T22:10:32Z,adv_1179,cmp_1179_2,banner_300x250,tablet,SG,0.0104,INR
evt_f1bf2864,impression,2026-06-01T02:14:34Z,2026-06-01T08:59:05Z,adv_1151,cmp_1151_2,banner_728x90,mobile,GB,0.0099,INR
evt_f0bf26d1,impression,2026-06-01T09:34:05Z,2026-06-01T21:05:43Z,adv_1158,cmp_1158_3,preroll,ctv,US,0.0111,USD
evt_efbf253e,impression,2026-06-01T12:34:49Z,2026-06-01T19:39:45Z,adv_1179,cmp_1179_3,native_feed,ctv,unknown,0.0107,USD
evt_eebf23ab,impression,2026-06-01T00:18:04Z,2026-06-01T11:11:47Z,adv_1123,cmp_1123_2,interstitial,ctv,unknown,0.0191,USD
evt_eebf23ab,impression,2026-06-01T00:18:04Z,2026-06-01T11:11:47Z,adv_1123,cmp_1123_2,interstitial,ctv,unknown,0.0191,USD
evt_edbf2218,impression,2026-06-01T01:41:03Z,2026-06-01T18:26:51Z,adv_1137,cmp_1137_2,banner_300x250,ctv,DE,0.0123,USD
evt_ecbf2085,impression,2026-06-01T01:40:31Z,2026-06-01T23:46:37Z,adv_1172,cmp_1172_2,preroll,mobile,,0.0059,USD
evt_ebbf1ef2,impression,2026-06-01T18:51:42Z,2026-06-01T15:44:18Z,adv_1130,cmp_1130_2,interstitial,tablet,AU,0.0022,USD
evt_eebce514,impression,2026-06-01T06:04:01Z,2026-06-01T05:19:41Z,adv_1144,cmp_1144_2,preroll,desktop,GB,0.0185,INR
evt_efbce6a7,impression,2026-06-01T16:37:07Z,2026-06-01T06:48:38Z,adv_1186,cmp_1186_3,preroll,mobile,US,0.0010,USD
evt_f0bce83a,click,2026-06-01T00:26:21Z,2026-06-01T06:25:54Z,adv_1158,cmp_1158_1,native_feed,mobile,CA,0.6192,INR
evt_f1bce9cd,impression,2026-06-01T00:47:47Z,2026-06-01T00:22:54Z,adv_1144,cmp_1144_1,preroll,desktop,,0.0063,USD
evt_eabcdec8,impression,2026-06-01T05:27:33Z,2026-06-01T20:45:41Z,adv_1137,cmp_1137_1,preroll,tablet,unknown,0.0031,USD
evt_ebbce05b,click,2026-06-01T18:47:26Z,2026-06-01T08:38:07Z,adv_1123,cmp_1123_2,preroll,mobile,US,0.2884,INR
evt_ecbce1ee,impression,2026-06-01T21:04:35Z,2026-06-01T03:07:11Z,adv_1186,cmp_1186_3,banner_300x250,ctv,unknown,0.0125,INR
evt_edbce381,click,2026-06-01T23:19:25Z,2026-06-02T19:16:49Z,adv_1116,cmp_1116_3,native_feed,ctv,US,0.4933,USD
evt_e6bcd87c,impression,2026-06-01T20:52:33Z,2026-06-01T21:09:31Z,adv_1109,cmp_1109_2,banner_300x250,desktop,unknown,0.0177,USD
evt_e7bcda0f,impression,2026-06-01T07:57:07Z,2026-06-01T16:22:00Z,adv_1137,cmp_1137_1,native_feed,mobile,IN,0.0025,USD
evt_6f30ec44,impression,2026-06-01T10:16:35Z,2026-06-01T01:01:33Z,adv_1116,cmp_1116_1,banner_728x90,desktop,AU,0.0034,USD
evt_7030edd7,impression,2026-06-01T04:59:12Z,2026-06-01T20:55:51Z,adv_1165,cmp_1165_2,interstitial,ctv,AU,0.0037,USD
evt_7130ef6a,impression,2026-06-01T14:40:18Z,2026-06-01T22:59:54Z,adv_1186,cmp_1186_1,native_feed,ctv,US,0.0119,INR
evt_7230f0fd,impression,2026-06-01T03:07:04Z,2026-06-01T13:41:44Z,adv_1172,cmp_1172_2,banner_728x90,desktop,GB,0.0022,INR
evt_6b30e5f8,impression,2026-06-01T04:16:13Z,2026-06-01T20:10:52Z,adv_1123,cmp_1123_1,banner_728x90,desktop,AU,0.0151,USD
evt_6c30e78b,conversion,2026-06-01T14:50:20Z,2026-06-01T10:57:02Z,adv_1165,cmp_1165_3,interstitial,desktop,unknown,0.0000,USD
evt_6d30e91e,impression,2026-06-01T10:32:28Z,2026-06-01T20:38:50Z,adv_1165,cmp_1165_3,native_feed,tablet,,0.0123,USD
evt_6e30eab1,impression,2026-06-01T00:39:04Z,2026-06-01T08:42:16Z,adv_1186,cmp_1186_3,banner_728x90,desktop,US,0.0108,USD
evt_6730dfac,impression,2026-06-01T09:02:29Z,2026-06-01T13:58:04Z,adv_1130,cmp_1130_1,preroll,desktop,,0.0021,INR
evt_6830e13f,impression,2026-06-01T19:08:57Z,2026-06-01T06:55:47Z,adv_1123,cmp_1123_1,banner_300x250,mobile,unknown,0.0053,USD
evt_7533344d,click,2026-06-01T19:15:15Z,2026-06-02T15:00:02Z,adv_1165,cmp_1165_1,native_feed,mobile,AU,0.6601,USD
evt_743332ba,impression,2026-06-01T11:34:48Z,2026-06-01T07:06:32Z,adv_1186,cmp_1186_3,interstitial,tablet,,0.0095,INR
evt_73333127,impression,2026-06-01T20:46:23Z,2026-06-01T18:48:24Z,adv_1172,cmp_1172_3,interstitial,tablet,SG,0.0133,INR
evt_72332f94,impression,2026-06-01T02:32:29Z,2026-06-01T05:33:28Z,adv_1151,cmp_1151_3,banner_300x250,desktop,US,0.0025,INR
evt_71332e01,impression,2026-06-01T23:39:35Z,2026-06-01T03:58:31Z,adv_1151,cmp_1151_2,banner_728x90,ctv,AU,0.0133,USD
evt_70332c6e,impression,2026-06-01T17:20:35Z,2026-06-01T10:06:18Z,adv_1130,cmp_1130_2,banner_300x250,ctv,GB,0.0141,USD
evt_6f332adb,impression,2026-06-01T02:08:16Z,2026-06-01T23:28:20Z,adv_1109,cmp_1109_1,native_feed,mobile,GB,0.0164,USD
evt_6e332948,impression,2026-06-01T09:52:40Z,2026-06-01T17:02:23Z,adv_1116,cmp_1116_1,preroll,tablet,unknown,0.0089,USD
evt_6d3327b5,impression,2026-06-01T21:52:04Z,2026-06-01T23:56:04Z,adv_1130,cmp_1130_1,native_feed,desktop,DE,0.0007,USD
evt_6c332622,impression,2026-06-01T01:11:15Z,2026-06-01T00:05:39Z,adv_1123,cmp_1123_3,preroll,desktop,,0.0178,USD
evt_db361376,impression,2026-06-01T20:42:56Z,2026-06-01T18:34:19Z,adv_1172,cmp_1172_2,banner_300x250,mobile,CA,0.0007,USD
evt_dc361509,impression,2026-06-01T17:18:01Z,2026-06-01T03:03:16Z,adv_1130,cmp_1130_1,banner_728x90,tablet,IN,0.0030,USD
evt_d9361050,impression,2026-06-01T00:04:06Z,2026-06-01T11:30:51Z,adv_1109,cmp_1109_1,banner_728x90,ctv,CA,0.0117,INR
evt_da3611e3,impression,2026-06-01T04:42:55Z,2026-06-01T19:09:14Z,adv_1109,cmp_1109_2,banner_300x250,desktop,unknown,0.0071,USD
evt_df3619c2,impression,2026-06-01T06:02:34Z,2026-06-01T09:51:47Z,adv_1116,cmp_1116_2,interstitial,ctv,CA,0.0123,USD
evt_e0361b55,impression,2026-06-01T19:11:07Z,2026-06-01T05:10:55Z,adv_1179,cmp_1179_3,interstitial,mobile,IN,0.0169,USD
evt_dd36169c,impression,2026-06-01T01:27:52Z,2026-06-01T15:15:35Z,adv_1158,cmp_1158_2,banner_728x90,tablet,CA,0.0048,USD
evt_dd36169c,impression,2026-06-01T01:27:52Z,2026-06-01T15:15:35Z,adv_1158,cmp_1158_2,banner_728x90,tablet,CA,0.0048,USD
evt_de36182f,impression,2026-06-01T15:04:03Z,2026-06-01T15:32:41Z,adv_1151,cmp_1151_3,interstitial,mobile,DE,0.0005,USD
evt_e336200e,impression,2026-06-01T09:35:22Z,2026-06-01T01:31:05Z,adv_1123,cmp_1123_2,preroll,ctv,AU,0.0084,USD
evt_e43621a1,impression,2026-06-01T04:48:37Z,2026-06-01T13:55:51Z,adv_1123,cmp_1123_1,banner_728x90,desktop,IN,0.0011,USD
evt_e1385b7f,conversion,2026-06-01T00:07:16Z,2026-06-01T19:58:19Z,adv_1130,cmp_1130_2,banner_728x90,desktop,,0.0000,USD
evt_e03859ec,impression,2026-06-01T02:25:32Z,2026-06-01T20:14:39Z,adv_1186,cmp_1186_3,native_feed,desktop,CA,0.0070,USD
evt_e3385ea5,impression,2026-06-01T00:49:43Z,2026-06-01T00:55:00Z,adv_1123,cmp_1123_1,interstitial,tablet,US,0.0063,USD
evt_e2385d12,conversion,2026-06-01T04:26:03Z,2026-06-01T22:13:51Z,adv_1123,cmp_1123_3,preroll,tablet,CA,0.0000,USD
evt_dd385533,impression,2026-06-01T19:28:41Z,2026-06-01T18:39:58Z,adv_1116,cmp_1116_1,interstitial,tablet,GB,0.0176,USD
evt_dc3853a0,click,2026-06-01T17:59:47Z,2026-06-01T11:06:18Z,adv_1165,cmp_1165_1,banner_300x250,mobile,SG,0.0293,USD
evt_df385859,click,2026-06-01T20:45:26Z,2026-06-01T16:10:30Z,adv_957,cmp_957_x,preroll,mobile,,0.5414,USD
evt_de3856c6,impression,2026-06-01T06:07:11Z,2026-06-01T16:11:49Z,adv_1116,cmp_1116_2,preroll,desktop,GB,0.0199,INR
evt_e9386817,impression,2026-06-01T20:58:24Z,2026-06-01T13:53:03Z,adv_1165,cmp_1165_2,banner_300x250,tablet,US,0.0094,USD
evt_e8386684,impression,2026-06-01T17:18:49Z,2026-06-01T16:01:15Z,adv_1144,cmp_1144_2,banner_300x250,tablet,GB,0.0100,USD
evt_d72702a0,impression,2026-06-01T04:22:55Z,2026-06-01T21:32:40Z,adv_1123,cmp_1123_1,banner_300x250,ctv,DE,0.0101,USD
evt_d8270433,impression,2026-06-01T20:27:02Z,2026-06-01T09:34:01Z,adv_1116,cmp_1116_3,banner_300x250,desktop,unknown,0.0147,USD
evt_d92705c6,impression,2026-06-01T15:16:07Z,2026-06-01T16:29:13Z,adv_1116,cmp_1116_2,banner_728x90,ctv,,0.0066,USD
evt_da270759,impression,2026-06-01T00:48:13Z,2026-06-01T00:42:02Z,adv_981,cmp_981_x,banner_300x250,mobile,CA,0.0065,INR
evt_db2708ec,impression,2026-06-01T20:52:40Z,2026-06-01T17:59:12Z,adv_1151,cmp_1151_1,preroll,ctv,DE,0.0022,USD
evt_dc270a7f,impression,2026-06-01T10:03:02Z,2026-06-01T04:50:14Z,adv_1123,cmp_1123_1,preroll,ctv,SG,0.0039,INR
evt_dd270c12,impression,2026-06-01T04:48:11Z,2026-06-01T09:26:05Z,adv_1172,cmp_1172_1,interstitial,ctv,US,0.0047,USD
evt_de270da5,impression,2026-06-01T16:20:39Z,2026-06-03T20:10:35Z,adv_1172,cmp_1172_2,native_feed,ctv,GB,0.0007,USD
evt_df270f38,impression,2026-06-01T23:37:46Z,2026-06-01T00:09:08Z,adv_1158,cmp_1158_2,banner_728x90,mobile,GB,0.0075,USD
evt_e02710cb,impression,2026-06-01T07:40:31Z,2026-06-01T17:09:29Z,adv_1179,cmp_1179_3,banner_300x250,desktop,US,0.0113,USD
evt_dd294aa9,impression,2026-06-01T18:27:01Z,2026-06-01T08:34:05Z,adv_1116,cmp_1116_2,preroll,ctv,DE,0.0193,USD
evt_dc294916,impression,2026-06-01T21:56:22Z,2026-06-01T06:17:42Z,adv_1130,cmp_1130_3,preroll,tablet,AU,0.0087,USD
evt_db294783,impression,2026-06-01T14:17:01Z,2026-06-01T08:04:22Z,adv_1130,cmp_1130_3,interstitial,ctv,IN,0.0153,USD
evt_da2945f0,impression,2026-06-01T14:20:56Z,2026-06-01T02:07:15Z,adv_1151,cmp_1151_2,native_feed,mobile,DE,0.0127,USD
evt_e12950f5,impression,2026-06-01T09:27:04Z,2026-06-01T02:27:58Z,adv_1158,cmp_1158_3,banner_300x250,mobile,IN,0.0015,INR
evt_e0294f62,impression,2026-06-01T14:48:11Z,2026-06-01T19:45:45Z,adv_1137,cmp_1137_2,interstitial,ctv,US,0.0002,INR
evt_df294dcf,click,2026-06-01T16:33:43Z,2026-06-03T11:52:24Z,adv_1116,cmp_1116_2,preroll,mobile,,0.5838,USD
evt_de294c3c,impression,2026-06-01T05:10:27Z,2026-06-02T00:36:18Z,adv_1186,cmp_1186_2,native_feed,ctv,SG,0.0193,INR
evt_e5295741,impression,2026-06-01T13:21:24Z,2026-06-01T12:35:50Z,adv_1144,cmp_1144_1,preroll,desktop,CA,0.0023,USD
evt_e42955ae,impression,2026-06-01T14:25:42Z,2026-06-01T08:25:42Z,adv_1144,cmp_1144_3,interstitial,ctv,,0.0065,USD
evt_e32b92b2,impression,2026-06-01T06:07:35Z,2026-06-01T14:26:15Z,adv_1130,cmp_1130_3,interstitial,desktop,DE,0.0142,USD
evt_e42b9445,impression,2026-06-01T19:03:18Z,2026-06-01T22:55:52Z,adv_1158,cmp_1158_2,native_feed,mobile,DE,0.0047,USD
evt_e12b8f8c,impression,2026-06-01T08:10:05Z,2026-06-01T21:40:13Z,adv_1137,cmp_1137_1,interstitial,ctv,CA,0.0111,USD
evt_e22b911f,click,2026-06-01T10:40:24Z,2026-06-01T22:08:04Z,adv_1179,cmp_1179_1,native_feed,desktop,GB,0.5697,USD
evt_e22b911f,click,2026-06-01T10:40:24Z,2026-06-01T22:08:04Z,adv_1179,cmp_1179_1,native_feed,desktop,GB,0.5697,USD
evt_df2b8c66,impression,2026-06-01T08:54:04Z,2026-06-01T14:39:57Z,adv_1116,cmp_1116_2,interstitial,desktop,unknown,0.0019,USD
evt_e02b8df9,impression,2026-06-01T04:15:44Z,2026-06-01T07:38:27Z,adv_1144,cmp_1144_2,banner_728x90,mobile,US,0.0029,USD
evt_dd2b8940,impression,2026-06-01T19:44:53Z,2026-06-01T00:05:15Z,adv_1144,cmp_1144_3,banner_300x250,tablet,DE,0.0045,USD
evt_de2b8ad3,impression,2026-06-01T22:31:09Z,2026-06-01T17:14:49Z,adv_1158,cmp_1158_3,banner_728x90,mobile,US,0.0043,USD
evt_eb2b9f4a,impression,2026-06-01T07:49:07Z,2026-06-02T04:08:06Z,adv_1165,cmp_1165_1,banner_300x250,mobile,unknown,0.0167,USD
evt_ec2ba0dd,impression,2026-06-01T14:19:31Z,2026-06-01T02:23:17Z,adv_1158,cmp_1158_1,banner_300x250,ctv,CA,0.0071,USD
evt_692ea43b,click,2026-06-01T11:15:39Z,2026-06-01T03:05:23Z,adv_1186,cmp_1186_2,banner_728x90,mobile,unknown,0.8247,USD
evt_682ea2a8,click,2026-06-01T17:10:11Z,2026-06-01T08:56:48Z,adv_1116,cmp_1116_1,preroll,mobile,AU,0.2838,USD
evt_6b2ea761,impression,2026-06-01T11:03:53Z,2026-06-01T19:16:29Z,adv_1144,cmp_1144_1,preroll,mobile,,0.0148,INR
evt_6a2ea5ce,click,2026-06-01T08:57:34Z,2026-06-03T17:48:34Z,adv_1109,cmp_1109_1,preroll,mobile,IN,0.5535,USD
